temperature_set_C,pressure_set_kPa,ratio_set,volume_set_m3,recycle_fraction_set,Tin_C,Tout_C,pressure_actual_kPa,ratio_actual,volume_actual_m3,recycle_fraction_actual,C_efficiency_pct,H_efficiency_pct,co2_conversion_per_pass_pct,energy_efficiency_pct,methanol_kg_h,hydrogen_purge_kg_h,reactor_duty_kJ_h,compressor_duty_kJ_h,expander_duty_kJ_h,h2_lhv_kJ_h,methanol_lhv_kJ_h,converged,write_error,recycle_status,convergence_detail,case,execution_order,solve_time_s,case_time_s,timestamp
240,10500,3.0,65,,240.0,240.0,10500.0,3.0,65.0,0.99,91.69108478575492,92.62670809989527,32.99218282487053,80.62753764882112,19120.728796804247,198.39209786654578,36973949.603353955,26325011.532603078,15819330.701300427,462351162.0,378188235.0945175,True,,RCY-1:Converged(87/300),,methanol_instance2.hsc,13,7.990701600007014,8.180772299994715,2026-07-31 17:40:00
240,11000,3.0,65,,240.0,240.0,11000.0,3.0,65.0,0.99,91.61743682071156,92.55230862500451,33.21712356539456,80.49038129548403,19105.18224349581,200.5759646352104,37035088.03161008,27000718.2364845,15987909.64206585,462351162.0,377893284.6369009,True,,RCY-1:Converged(88/300),,methanol_instance3.hsc,13,7.7263015000207815,7.93914100000984,2026-07-31 17:40:01
250,5000,3.0,65,,250.0,250.0,5000.0,3.0,65.0,0.99,91.89880882039347,92.83655176754033,24.436235312808122,82.26404080318078,19166.551321188326,193.33498549132463,36073414.74575876,17353686.54012277,15710875.502735795,462351162.0,378913716.8351474,True,,RCY-1:Converged(60/300),,methanol_instance0.hsc,14,5.6498036999837495,5.8461555000103544,2026-07-31 17:39:59
250,5500,3.0,65,,250.0,250.0,5500.0,3.0,65.0,0.99,92.19830254244987,93.13910154798506,27.29320709191031,82.22747132798017,19228.5339444402,185.0638043424127,36315093.41009787,18180910.12508368,14956154.33947709,462351162.0,380173217.4889251,True,,RCY-1:Converged(71/300),,methanol_instance1.hsc,14,6.326847500022268,6.524287200008985,2026-07-31 17:40:00
250,6000,3.0,65,,250.0,250.0,6000.0,3.0,65.0,0.99,92.42219545212748,93.36527907918999,29.823257498740247,82.1549967513598,19274.789113649582,178.12139699133104,36525642.711121365,18999696.628958747,14336286.904873015,462351162.0,381117495.36439055,True,,RCY-1:Converged(77/300),,methanol_instance2.hsc,14,7.541475900041405,7.745687399990857,2026-07-31 17:40:08
250,6500,3.0,65,,250.0,250.0,6500.0,3.0,65.0,0.99,92.5967724159453,93.54163744059778,32.14207480416459,82.07278639810013,19310.781303690335,172.80745291528925,36712730.81191817,19809816.073560406,13863781.440122671,462351162.0,381859168.18918097,True,,RCY-1:Converged(82/300),,methanol_instance3.hsc,14,7.8066580000158865,8.018923800002085,2026-07-31 17:40:09
250,7000,3.0,65,,250.0,250.0,7000.0,3.0,65.0,0.99,92.72499106737241,93.6711644456109,34.17230175851869,81.97182391822327,19337.14899005425,168.3709788632188,36880665.29190129,20597510.029433984,13473975.085667836,462351162.0,382407859.96569735,True,,RCY-1:Converged(85/300),,methanol_instance0.hsc,15,6.488840000005439,6.694816900009755,2026-07-31 17:40:06
250,7500,3.0,65,,250.0,250.0,7500.0,3.0,65.0,0.99,92.82816816665218,93.77539437243433,36.04655903363133,81.87401604739237,19358.28323384312,165.14830721181613,37034473.35000902,21370074.436885253,13188502.635312255,462351162.0,382853500.10966796,True,,RCY-1:Converged(88/300),,methanol_instance1.hsc,15,5.525381199986441,5.743527000013273,2026-07-31 17:40:05
250,8000,3.0,65,,250.0,250.0,8000.0,3.0,65.0,0.99,92.89964027469142,93.84759578769845,37.67011934274317,81.76284507748146,19372.85038236112,162.41885529991725,37175232.04230715,22117262.86729224,12948736.234487103,462351162.0,383166431.4390717,True,,RCY-1:Converged(89/300),,methanol_instance2.hsc,15,7.825961299997289,8.028809899988119,2026-07-31 17:40:16
250,8500,3.0,65,,250.0,250.0,8500.0,3.0,65.0,0.99,92.95266044982266,93.90115698502491,39.12437137309895,81.6515331570154,19383.57106866618,160.37261240545334,37306157.545485705,22844898.126711093,12767645.791818852,462351162.0,383402376.11907494,True,,RCY-1:Converged(90/300),,methanol_instance3.hsc,15,6.155261899984907,6.363701199996285,2026-07-31 17:40:16
250,9000,3.0,65,,250.0,250.0,9000.0,3.0,65.0,0.99,92.98547934025756,93.9343107620969,40.388116524338066,81.53377119149472,19390.104926939992,158.70649783547384,37427980.76719267,23550112.950218298,12620278.90478539,462351162.0,383553354.8296813,True,,RCY-1:Converged(90/300),,methanol_instance0.hsc,16,6.521006399998441,6.751103099988541,2026-07-31 17:40:13
250,9500,3.0,65,,250.0,250.0,9500.0,3.0,65.0,0.99,93.01077556393874,93.95986511050953,41.54484763815808,81.4232629808303,19395.065758173154,157.65471662554532,37543527.1253583,24239224.863778748,12524037.241097676,462351162.0,383673733.09443647,True,,RCY-1:Converged(91/300),,methanol_instance1.hsc,16,6.555857900035335,6.759605700004613,2026-07-31 17:40:12
250,10000,3.0,65,,250.0,250.0,10000.0,3.0,65.0,0.99,93.02031371673829,93.96950059139887,42.540369972513396,81.30661412518133,19396.770369660862,156.80142330833755,37652014.167662874,24907070.59083662,12445703.147348505,462351162.0,383727467.81846154,True,,RCY-1:Converged(91/300),,methanol_instance2.hsc,16,8.368929699994624,8.56810430000769,2026-07-31 17:40:25
